name,place,url,latitude,longitude
さっぽろジャグリングクラブ,東札幌児童会館,http://sapporojuggling.bbs.fc2.com,43.05251155,141.3919193
函館大道芸サークル おどけ箱,函館市青年センター　体育館,http://odokebako.wixsite.com/odokebako,41.78473803,140.7484652
北海道ジャグリング交流会,札幌市エルムの里公園、旭川市ASOBI～BA,https://twitter.com/hokkaido_jug,43.06696541,141.3431514
弘前大学大道芸サークル Mocha,弘前大学大学会館または三岳公園,http://jugglingmocha.web.fc2.com/,40.58819392,140.4726748
IWATE STREET PERFORMANCE CLUB,河北児童センター(火)、中央食堂前・上田児童センター(木)、盛岡体育館(日),https://iwatestreetperformance.hatenablog.com/entry/40375041,39.71302241,141.1350933
遊ハガキ,日立システムズホール仙台 パフォーマンス広場,https://mobile.twitter.com/ASOHAGAKI,38.29615184,140.8843211
ホゴノプロフィス,日立システムズホール仙台 パフォーマンス広場,http://hogonopro.com,38.29615184,140.8843211
山形大学ジャグリングサークル~Juggle Witn Nekkey~,山形大学体育館、グラウンド,https://twitter.com/yamadai_juggle,38.24558279,140.3492346
福島大学ジャグリングサークル,福島大学構内,http://fukushima08jugglin.web.fc2.com/index.html,37.68290742,140.4556003
夢幻劇,水戸市内原ヘルスパーク,http://www2.ezbbs.net/20/hirohata2005,36.36176941,140.3578159
宇都宮ジャグリング練習会,宇都宮工業団地体育館,https://twitter.com/h2qgxwuyosrwr3m,36.56952361,139.9324552
芝浦工業大学パフォーマンスサークル Shangri-La（大宮）,芝浦工業大学 大宮キャンパス,https://twitter.com/shibaurashangri,35.95204549,139.6542992
芝浦工業大学パフォーマンスサークル Shangri-La（豊洲）,芝浦工業大学 豊洲キャンパス,https://twitter.com/shibaurashangri,35.66051826,139.7948456
埼玉大学ジャグリングサークル Million Tricks,埼玉大学構内,http://milliontricks.web.fc2.com,35.86260793,139.6082212
文教大学大道芸サークル「Ｍａｇｇｉｅ」,文教大学構内,https://twitter.com/bunkyo_maggie,35.90476431,139.7739887
市原ジャグリングサークル JUGJUG,市原市姉ヶ崎保健福祉センター（アネッサ） 体育館,https://twitter.com/ichiharajugjug,35.46901638,140.0422748
流山ジャグリングクラブ,南流山福祉会館（JR南流山駅歩３分、駐車場あり）,https://twitter.com/nagajug,35.83888115,139.9020483
東京理科大学 ジャグリング Dominus Somni,東京理科大学 野田キャンパス,https://twitter.com/nodajuggling,35.92062683,139.9110151
千葉大学ジャグリングチーム「Possum」,語らいの森 ※体育館日程はWEB参照,https://twitter.com/possum_chiba,35.62777605,140.1031272
NJC（日本大学ジャグリングサークル）,日本大学文理学部柔道場,https://twitter.com/jugglingnjc,35.66233078,139.6342933
関東ハット交流会 E-hat,南大沢市民センターなど（Twitterで告知）,https://mobile.twitter.com/hateast_jug,35.61204994,139.3792707
所沢ジャグリングクラブ「JUGFLY」,新所沢東公民館（西武新宿線 新所沢駅東口下車徒歩１０分）,https://ichirot.wixsite.com/jugfly,35.80919191,139.4606851
小平ジャグリング俱楽部,花小金井南児童館 遊戯室,http://www.kjc-web.com,35.72225949,139.5186204
まれひと（一橋パフォーマンスサークル）,一橋大学,https://twitter.com/marehit_u,35.69440959,139.445451
筑駒Jugglers,筑波大学附属駒場中学高等学校 校内,https://sites.google.com/site/tsukukomajugglers/,35.65530935,139.6807107
東京農業大学ジャグリングサークル JugAgri,大学内,https://www.jugagri.com/,35.64162961,139.6310272
日本クラブバレー協会,高井戸地域区民センター体育室、神奈川県立スポーツ会館,https://twitter.com/clubvolley_jp,35.68362516,139.6165859
日本スティック協会,代々木公園オリンピック記念碑前,https://twitter.com/stick_japan,35.66767073,139.6931326
Passage（ぱさーじゅ）,火曜日：調布市立第一小学校体育館、木曜日：電気通信大学第一体育館,http://passage-juggling.com/,35.65508914,139.5438732
ICUジャグリングサークル夢トランク,ICU（国際基督教大学）,https://yumetrunk.wixsite.com/juggling,35.68753962,139.5295431
井の頭ポイ,井の頭公園,https://poicommunity.com/poievents/inokashirapoi/,35.69926828,139.5778377
早大学院ジャグリングクラブ～ＷＨＩＰ～,早稲田大学高等学院,https://twitter.com/whip_gakuin,35.73132796,139.5933416
東京学芸大学ジャグリングサークルＣＨＥＬＳＥＡ,東京学芸大学,http://juggling24chelsea.web.fc2.com/,35.7059494,139.4927812
ジャグリングサークル　ＱＯＪ,帝京大学板橋キャンパス　講義室もしくは体育館,https://twitter.com/teikyoqoj,35.7597039,139.7174066
FantaStick,BumB 東京スポーツ文化館,https://twitter.com/FantaStickJug,35.64974276,139.8299117
東京農工大学ジャグリングサークル @jug（工学部）,東京農工大学工学部体育館,https://sites.google.com/view/atjugatjug,35.69952507,139.5169028
